2025-07-23 18:05:50.528 | ERROR    | src.sync_manager:sync_fsm_data:104 - Error during FSM sync: {'message': 'Could not find the function public.get_sync_status(p_schema, p_table) in the schema cache', 'code': 'PGRST202', 'hint': None, 'details': 'Searched for the function public.get_sync_status with parameters p_schema, p_table or with a single unnamed json/jsonb parameter, but no matches were found in the schema cache.'}
2025-07-23 18:05:50.627 | ERROR    | src.supabase_client:update_sync_status:112 - Error updating sync status for zoho_fsm.work_orders: {'message': 'Could not find the function public.update_sync_status(p_last_sync, p_schema, p_status, p_table) in the schema cache', 'code': 'PGRST202', 'hint': None, 'details': 'Searched for the function public.update_sync_status with parameters p_last_sync, p_schema, p_status, p_table or with a single unnamed json/jsonb parameter, but no matches were found in the schema cache.'}
2025-07-23 18:05:50.628 | ERROR    | src.sync_manager:run_sync_cycle:231 - Error during sync cycle: {'message': 'Could not find the function public.update_sync_status(p_last_sync, p_schema, p_status, p_table) in the schema cache', 'code': 'PGRST202', 'hint': None, 'details': 'Searched for the function public.update_sync_status with parameters p_last_sync, p_schema, p_status, p_table or with a single unnamed json/jsonb parameter, but no matches were found in the schema cache.'}
2025-07-23 18:32:44.661 | INFO     | src.sync_manager:initialize:18 - Initializing sync manager...
2025-07-23 18:32:45.440 | ERROR    | src.supabase_client:create_schema:24 - Error creating schema zoho_fsm: {'message': 'Could not find the function public.create_schema_if_not_exists(schema_name) in the schema cache', 'code': 'PGRST202', 'hint': None, 'details': 'Searched for the function public.create_schema_if_not_exists with parameter schema_name or with a single unnamed json/jsonb parameter, but no matches were found in the schema cache.'}
2025-07-23 18:32:45.659 | ERROR    | src.supabase_client:create_schema:24 - Error creating schema zoho_crm: {'message': 'Could not find the function public.create_schema_if_not_exists(schema_name) in the schema cache', 'code': 'PGRST202', 'hint': None, 'details': 'Searched for the function public.create_schema_if_not_exists with parameter schema_name or with a single unnamed json/jsonb parameter, but no matches were found in the schema cache.'}
2025-07-23 18:32:45.873 | ERROR    | src.supabase_client:create_schema:24 - Error creating schema zoho_inventory: {'message': 'Could not find the function public.create_schema_if_not_exists(schema_name) in the schema cache', 'code': 'PGRST202', 'hint': None, 'details': 'Searched for the function public.create_schema_if_not_exists with parameter schema_name or with a single unnamed json/jsonb parameter, but no matches were found in the schema cache.'}
2025-07-23 18:32:45.873 | INFO     | src.sync_manager:initialize:25 - Sync manager initialized successfully
2025-07-23 18:32:54.070 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_fsm.work_orders: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:32:54.168 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_fsm.customers: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:32:54.274 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_fsm.technicians: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:32:54.483 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_fsm.appointments: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:32:54.586 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_crm.work_orders: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
